epoch,train_loss,val_loss
1,0.7151615431573656,0.6558712720870972
2,0.620028434197108,0.6514820456504822
3,0.6192473717530569,0.6237694621086121
4,0.6164084609349568,0.6221763491630554
5,0.6147931457890404,0.6184629201889038
6,0.6154794711536832,0.6139621734619141
7,0.6161795038647122,0.6149580478668213
8,0.6139814004633162,0.6137489676475525
9,0.6168623458014594,0.6234024167060852
10,0.6158987657229106,0.6221840381622314
11,0.6168332510524326,0.616647481918335
12,0.6143141802151998,0.6118249297142029
13,0.6119825892978245,0.6110435128211975
14,0.6134147710270352,0.6239494681358337
15,0.6120931310123867,0.614652693271637
16,0.6141237370173136,0.6113016605377197
17,0.6133563465542263,0.6121417284011841
18,0.6154298068417443,0.6204203963279724
